zone,zone_name,id,party,name
1,R/N,1,Shiv Sena,TEJASVEE ABHISHEK GHOSALKAR
1,R/N,2,Bharatiya Janata Party,JAGDISH KARUNASHANKAR OZA
1,R/N,3,Shiv Sena,BALKRISHNA JAYSING BRID
1,R/N,4,Shiv Sena,SUJATA UDESH PATEKAR
1,R/N,5,Shiv Sena,SANJAY SHANKAR GHADI
1,R/N,6,Shiv Sena,HARSHAD PRAKASH KARKAR
1,R/N,7,Shiv Sena,Sheetal Mukesh Mhatre
1,R/N,8,Bharatiya Janata Party,Harish Ravji Chheda
2,R/C,9,Indian National Congress,SWETA SHARAD KORGAONKAR
2,R/C,10,Bharatiya Janata Party,Jitendra Ambalal Patel
2,R/C,11,Shiv Sena,Riddhi Bhaskar Khursange
2,R/C,12,Shiv Sena,GEETA SANJAY SINGHAN
2,R/C,13,Bharatiya Janata Party,Vidyarthi Balister Singh
2,R/C,14,Bharatiya Janata Party,Asawari Anil Patil
2,R/C,15,Bharatiya Janata Party,PRAVIN RIKHAVCHAND SHAH
2,R/C,16,Bharatiya Janata Party,Anjali Arun Khedkar
2,R/C,17,Bharatiya Janata Party,BINA PARESH DOSHI
2,R/C,18,Shiv Sena,Sandhya Vipul Doshi
3,R/South,19,Shiv Sena,Gudekar Shubhdha Subhash
3,R/South,20,Bharatiya Janata Party,Tawade Dipak (Bala)
3,R/South,21,Bharatiya Janata Party,Girkar Shailja Vijay
3,R/South,22,Bharatiya Janata Party,Prasade Suvarna Subhash
3,R/South,23,Bharatiya Janata Party,Zha Shivkumar
3,R/South,24,Bharatiya Janata Party,Yadav Sunita Ramgina
3,R/South,25,Shiv Sena,Bhoir Madhuri Yogesh
3,R/South,26,Bharatiya Janata Party,Pandagale Pritam Gautam
3,R/South,27,Bharatiya Janata Party,Patil Surekha Manojkumar
3,R/South,28,Indian National Congress,Yadav Rajpati Bargun
3,R/South,29,Bharatiya Janata Party,Thakur Sagar Ramesh sigh
3,R/South,30,Bharatiya Janata Party,Leena Patel - Deherkar
3,R/South,31,Bharatiya Janata Party,Yadav kamlesh Shobhnath
4,P/North,32,Indian National Congress,STEFFIE MORRIS KINNY
4,P/North,33,Indian National Congress,VIRENDRA TUKARAM CHOUDHARY
4,P/North,34,Indian National Congress,QUMARJAHAN MOHAMMEDMOEEN SIDDIQUI
4,P/North,35,Bharatiya Janata Party,SEJAL PRASHANT DESAI
4,P/North,46,Bharatiya Janata Party,YOGITA SUNIL KOLI
4,P/North,47,Bharatiya Janata Party,Jaya SatnamSingh Tiwana
4,P/North,48,Indian National Congress,SALMA SALIM ALMELKAR
4,P/North,49,Shiv Sena,Sangeeta Sanjay Sutar
22,P/North,36,Bharatiya Janata Party,Daksha Jagdish Patel
22,P/North,37,Bharatiya Janata Party,Pratibha Hemant Shinde
22,P/North,38,Shiv Sena,Atmaram Laxman Chache
22,P/North,39,Shiv Sena,VINAYA VISHNU SAWANT
22,P/North,40,Shiv Sena,suhas chandrakant wadkar
22,P/North,41,Independent,TULSHIRAM DHONDIBA SHINDE
22,P/North,42,Nationalist Congress Party,DHANSHREE VAIBHAVB BHARADKAR
22,P/North,43,Bharatiya Janata Party,VINOD UDAYNARAYAN MISHRA
22,P/North,44,Bharatiya Janata Party,Sangeeta Gyanmurti Sharma
22,P/North,45,Bharatiya Janata Party,RAMNARAYAN AMTHARAM BAROT
5,P/South,50,Bharatiya Janata Party,DEEPAK JAIPRAKASH THAKUR
5,P/South,51,Shiv Sena,SWAPNIL MOHAN TEMBWALKAR
5,P/South,52,Bharatiya Janata Party,PRITI MANOJ SATAM
5,P/South,53,Shiv Sena,REKHA DADASAHEB RAMVANSHI
5,P/South,54,Shiv Sena,SADHANA SADASHIV MANE
5,P/South,55,Bharatiya Janata Party,HARSH BHARGAV PATEL
5,P/South,56,Bharatiya Janata Party,Rajul Sameer Desai
5,P/South,57,Bharatiya Janata Party,SRIKALA RAMCHANDRAN PILLAI
5,P/South,58,Bharatiya Janata Party,SANDEEP DILIP PATEL
6,K/West,59,Shiv Sena,Khopde Pratima Shailesh
6,K/West,60,Bharatiya Janata Party,Dhabhadkar Yogiraj (Nilesh)
6,K/West,61,Shiv Sena,Patel Rajul Suresh
6,K/West,62,Independent,Changez Jamal Multani
6,K/West,63,Bharatiya Janata Party,Patil Ranjana Ujjwal
6,K/West,64,Shiv Sena,Shahida Harun Khan
6,K/West,65,Indian National Congress,Jadha Alpa Ashokbhau
6,K/West,66,Indian National Congress,Meher Mohsin Haider
6,K/West,67,Bharatiya Janata Party,Singh Sudha Shambhudas
6,K/West,68,Bharatiya Janata Party,Rathod Rohan
6,K/West,69,Bharatiya Janata Party,Renu Hansaraj
6,K/West,70,Bharatiya Janata Party,Sunita Rajesh Mehta
6,K/West,71,Bharatiya Janata Party,Makwane Anish Naval
7,K/East,72,Bharatiya Janata Party,PANKAJ SHOBHNATH YADAV
7,K/East,73,Shiv Sena,PRAVIN GAJANAN SHINDE
7,K/East,74,Bharatiya Janata Party,UJWALA SHRIKRUSHNA MODAK
7,K/East,75,Shiv Sena,Priyanka Pramod Sawant
7,K/East,76,Bharatiya Janata Party,KESHARBEN MURJI PATEL
7,K/East,77,Shiv Sena,Anant Bhiku Nar
7,K/East,78,Nationalist Congress Party,Najiya Abdul J Sophia
7,K/East,79,Shiv Sena,SADANAND WAMAN PARAB
7,K/East,80,Bharatiya Janata Party,Sunil Lalanprasad Yadav
7,K/East,81,Bharatiya Janata Party,MURJI KANJI PATEL
7,K/East,86,Indian National Congress,SUSHMA KAMLESH RAI
8,K/East,82,Indian National Congress,Amin Jagdhish Kutti (Anna)
8,K/East,83,Indian National Congress,Vinni Bapist D'soza
8,K/East,84,Bharatiya Janata Party,Abhijit Ganpat Samant
8,K/East,85,Bharatiya Janata Party,JYOTI PARAG ALAVANI
8,H/West,97,Bharatiya Janata Party,HETAL VIMAL GALA
8,H/West,98,Bharatiya Janata Party,ALKA SUBHASH KERKAR
8,H/West,99,Shiv Sena,SANJAY GULABRAO AGALDARE
8,H/West,100,Bharatiya Janata Party,SWAPNA VIRENDRA MHATRE
8,H/West,101,Indian National Congress,ASIF AHMED ZAKARIA
8,H/West,102,Independent,MUMTAZ RAHEBAR KHAN
9,H/East,87,Shiv Sena,VISHWANATH PANDURANG MAHADESHWAR
9,H/East,88,Shiv Sena,SADANAND GAJANAN PARAB
9,H/East,89,Shiv Sena,DINESH KASHIRAM KUBAL
9,H/East,90,Indian National Congress,TULIP BRIAN MIRANDA
9,H/East,91,Shiv Sena,SAGUN VASANT NAIK
9,H/East,92,AIMIM,GULNAZ MDSALIM QURESHI
9,H/East,93,Shiv Sena,ROHINI YOGESH KAMBLE
9,H/East,94,Shiv Sena,PRADNYA DEEPAK BHUTKAR
9,H/East,95,Shiv Sena,CHANDRASHEKHAR VASUDEO WAINGANKAR
9,H/East,96,Shiv Sena,MOHAMMEDHALIM MOHAMMEDSHAMIM KHAN
10,T,103,Bharatiya Janata Party,MANOJ KISHORBHAI KOTAK
10,T,104,Bharatiya Janata Party,PRAKASH KASHINATH GANGADHARE
10,T,105,Bharatiya Janata Party,RAJANI NARESH KENI
10,T,106,Bharatiya Janata Party,PRABHAKAR TUKARAM SHINDE
10,T,107,Bharatiya Janata Party,SAMITA VINOD KAMBLE
10,T,108,Bharatiya Janata Party,Neil Kirit Somaiya
10,S,109,Shiv Sena,Deepali Deepak Gosavi
10,S,110,Indian National Congress,ASHA SURESH KOPARKAR
11,S,111,Bharatiya Janata Party,Sarika Mangesh Pawar
11,S,112,Bharatiya Janata Party,Sakshi Deepak Dalvi
10,S,113,Shiv Sena,Deepmala Baban Badhe
10,S,114,Shiv Sena,Ramesh Gajanan Korgaonkar
11,S,115,Shiv Sena,UMESH SUBHASH MANE
11,S,116,Indian National Congress,PRAMILA KAMLAKAR PATIL
11,S,117,Shiv Sena,SUVARNA SAHADEV KARANJE
11,S,118,Shiv Sena,UPENDRA DATTARAM SAWANT
11,S,119,Nationalist Congress Party,Manisha Harishchandra Rahate
11,S,120,Shiv Sena,Rajrajeshwari Anil Redkar
11,S,121,Shiv Sena,Chandravati Shivaji More
11,S,122,Bharatiya Janata Party,Vaishali Shrikant Patil
12,N,123,Independent,SNEHAL SUNIL MORE
12,N,124,Nationalist Congress Party,Jyoti Harun Khan
12,N,125,Shiv Sena,Rupali Suresh Awale
12,N,126,Maharashtra Navnirman Sena,ARCHANA SANJAY BHALERAO
12,N,127,Shiv Sena,TUKARAM KRISHNA PATIL
12,N,128,Shiv Sena,ASHWINI DEEPAK HANDE
12,N,129,Bharatiya Janata Party,Suryakant Jayhari Gawali
12,N,130,Bharatiya Janata Party,BINDU CHETAN TRIVEDI
12,N,131,Nationalist Congress Party,Rakhee Harishchandra Jadhav
12,N,132,Bharatiya Janata Party,PARAG KISHOR SHAH
12,N,133,Maharashtra Navnirman Sena,Parmeshwar Tukaram Kadam
13,M/West,149,Bharatiya Janata Party,SUSHAM GOPAL SAWANT
13,M/West,150,Indian National Congress,SANGEETA CHANDRAKANT HANDORE
